PROBE_V1
p=0.0028561201553955 q=547.76569688608015
p=0.0028561201553957498 q=547.76569688608026
p=0.0028561201553960001 q=547.76569688608038
p=0.0028561201553962499 q=547.7656968860806
p=0.0028561201553965001 q=547.76569688608072
p=0.0028561201553967499 q=547.76569688608083
p=0.0028561201553970001 q=547.76569688608095
p=0.0028561201553972499 q=547.76569688608117
p=0.0028561201553975002 q=547.76569688608129
p=0.00285612015539775 q=547.7656968860814
p=0.0028561201553980002 q=547.76569688608151
p=0.00285612015539825 q=547.76569688608174
p=0.0028561201553984998 q=547.76569688608186
p=0.00285612015539875 q=547.76569688608197
p=0.0028561201553989998 q=547.7656968860822
p=0.0028561201553992501 q=547.76569688608231
p=0.0028561201553994999 q=547.76569688608242
p=0.0028561201553997501 q=547.76569688608254
p=0.0028561201553999999 q=547.76569688608276
p=0.0028561201554002501 q=547.76569688608288
p=0.0028561201554004999 q=547.76569688608299
p=0.0028561201554007502 q=547.76569688608311
p=0.002856120155401 q=547.76569688608333
p=0.0028561201554012502 q=547.76569688608345
p=0.0028561201554015 q=547.76569688608356
p=0.0028561201554017498 q=547.76569688608379
p=0.002856120155402 q=547.7656968860839
p=0.0028561201554022498 q=547.76569688608402
p=0.0028561201554025001 q=547.76569688608413
p=0.0028561201554027499 q=547.76569688608436
p=0.0028561201554030001 q=547.76569688608447
p=0.0028561201554032499 q=547.76569688608458
p=0.0028561201554035002 q=547.7656968860847
p=0.00285612015540375 q=547.76569688608492
p=0.0028561201554040002 q=547.76569688608504
p=0.00285612015540425 q=547.76569688608515
p=0.0028561201554044998 q=547.76569688608538
p=0.00285612015540475 q=547.76569688608549
p=0.0028561201554049998 q=547.76569688608561
p=0.0028561201554052501 q=547.76569688608583
p=0.0028561201554054999 q=547.76569688608595
p=0.0028561201554057501 q=547.76569688608606
p=0.0028561201554059999 q=547.76569688608618
p=0.0028561201554062501 q=547.7656968860864
p=0.0028561201554064999 q=547.76569688608652
p=0.0028561201554067502 q=547.76569688608663
p=0.002856120155407 q=547.76569688608674
p=0.0028561201554072502 q=547.76569688608697
p=0.0028561201554075 q=547.76569688608708
p=0.0028561201554077498 q=547.7656968860872
p=0.002856120155408 q=547.76569688608743
p=0.0028561201554082498 q=547.76569688608754
p=0.0028561201554085001 q=547.76569688608765
p=0.0028561201554087499 q=547.76569688608777
p=0.0028561201554090001 q=547.76569688608799
p=0.0028561201554092499 q=547.76569688608811
p=0.0028561201554095001 q=547.76569688608822
p=0.0028561201554097499 q=547.76569688608834
p=0.0028561201554100002 q=547.76569688608856
p=0.00285612015541025 q=547.76569688608868
p=0.0028561201554105002 q=547.76569688608879
p=0.00285612015541075 q=547.76569688608902
p=0.0028561201554109998 q=547.76569688608913
p=0.00285612015541125 q=547.76569688608924
p=0.0028561201554114998 q=547.76569688608947
p=0.0028561201554117501 q=547.76569688608959
p=0.0028561201554119999 q=547.7656968860897
p=0.0028561201554122501 q=547.76569688608981
p=0.0028561201554124999 q=547.76569688608993
p=0.0028561201554127501 q=547.76569688609015
p=0.0028561201554129999 q=547.76569688609027
p=0.0028561201554132502 q=547.7656968860905
p=0.0028561201554135 q=547.76569688609061
p=0.0028561201554137502 q=547.76569688609072
p=0.002856120155414 q=547.76569688609084
p=0.0028561201554142498 q=547.76569688609106
p=0.0028561201554145 q=547.76569688609118
p=0.0028561201554147498 q=547.76569688609129
p=0.0028561201554150001 q=547.76569688609152
p=0.0028561201554152499 q=547.76569688609163
p=0.0028561201554155001 q=547.76569688609175
p=0.0028561201554157499 q=547.76569688609186
p=0.0028561201554160001 q=547.76569688609197
p=0.0028561201554162499 q=547.7656968860922
p=0.0028561201554165002 q=547.76569688609231
p=0.00285612015541675 q=547.76569688609243
p=0.0028561201554170002 q=547.76569688609266
p=0.00285612015541725 q=547.76569688609277
p=0.0028561201554174998 q=547.76569688609288
p=0.00285612015541775 q=547.76569688609311
p=0.0028561201554179998 q=547.76569688609322
p=0.0028561201554182501 q=547.76569688609334
p=0.0028561201554184999 q=547.76569688609345
p=0.0028561201554187501 q=547.76569688609356
p=0.0028561201554189999 q=547.76569688609379
p=0.0028561201554192501 q=547.76569688609391
p=0.0028561201554194999 q=547.76569688609402
p=0.0028561201554197502 q=547.76569688609425
p=0.00285612015542 q=547.76569688609436
p=0.0028561201554202502 q=547.76569688609447
p=0.0028561201554205 q=547.7656968860947
p=0.0028561201554207498 q=547.76569688609482
p=0.002856120155421 q=547.76569688609493
p=0.0028561201554212498 q=547.76569688609516
p=0.0028561201554215001 q=547.76569688609527
p=0.0028561201554217499 q=547.76569688609538
p=0.0028561201554220001 q=547.7656968860955
p=0.0028561201554222499 q=547.76569688609561
p=0.0028561201554225001 q=547.76569688609584
p=0.0028561201554227499 q=547.76569688609595
p=0.0028561201554230002 q=547.76569688609607
p=0.00285612015542325 q=547.76569688609629
p=0.0028561201554234998 q=547.76569688609641
p=0.00285612015542375 q=547.76569688609652
p=0.0028561201554239998 q=547.76569688609663
p=0.00285612015542425 q=547.76569688609686
p=0.0028561201554244998 q=547.76569688609698
p=0.0028561201554247501 q=547.76569688609709
p=0.0028561201554249999 q=547.7656968860972
p=0.0028561201554252501 q=547.76569688609743
p=0.0028561201554254999 q=547.76569688609754
p=0.0028561201554257501 q=547.76569688609766
p=0.0028561201554259999 q=547.76569688609788
p=0.0028561201554262502 q=547.765696886098
p=0.0028561201554265 q=547.76569688609811
p=0.0028561201554267498 q=547.76569688609834
p=0.002856120155427 q=547.76569688609845
p=0.0028561201554272498 q=547.76569688609857
p=0.0028561201554275 q=547.76569688609868
p=0.0028561201554277499 q=547.76569688609879
p=0.0028561201554280001 q=547.76569688609902
p=0.0028561201554282499 q=547.76569688609914
p=0.0028561201554285001 q=547.76569688609936
p=0.0028561201554287499 q=547.76569688609948
p=0.0028561201554290002 q=547.76569688609959
p=0.00285612015542925 q=547.7656968860997
p=0.0028561201554295002 q=547.76569688609993
p=0.00285612015542975 q=547.76569688610005
p=0.0028561201554299998 q=547.76569688610016
p=0.00285612015543025 q=547.76569688610027
p=0.0028561201554304998 q=547.7656968861005
p=0.0028561201554307501 q=547.76569688610061
p=0.0028561201554309999 q=547.76569688610073
p=0.0028561201554312501 q=547.76569688610095
p=0.0028561201554314999 q=547.76569688610107
p=0.0028561201554317501 q=547.76569688610118
p=0.0028561201554319999 q=547.7656968861013
p=0.0028561201554322502 q=547.76569688610152
p=0.0028561201554325 q=547.76569688610164
p=0.0028561201554327502 q=547.76569688610175
p=0.002856120155433 q=547.76569688610198
p=0.0028561201554332498 q=547.76569688610209
p=0.0028561201554335 q=547.76569688610221
p=0.0028561201554337498 q=547.76569688610232
p=0.0028561201554340001 q=547.76569688610255
p=0.0028561201554342499 q=547.76569688610266
p=0.0028561201554345001 q=547.76569688610277
p=0.0028561201554347499 q=547.765696886103
p=0.0028561201554350001 q=547.76569688610311
p=0.0028561201554352499 q=547.76569688610323
p=0.0028561201554355002 q=547.76569688610334
p=0.00285612015543575 q=547.76569688610357
p=0.0028561201554360002 q=547.76569688610368
p=0.00285612015543625 q=547.7656968861038
p=0.0028561201554364998 q=547.76569688610391
p=0.00285612015543675 q=547.76569688610414
p=0.0028561201554369998 q=547.76569688610425
p=0.0028561201554372501 q=547.76569688610437
p=0.0028561201554374999 q=547.76569688610448
p=0.0028561201554377501 q=547.76569688610471
p=0.0028561201554379999 q=547.76569688610482
p=0.0028561201554382501 q=547.76569688610493
p=0.0028561201554384999 q=547.76569688610516
p=0.0028561201554387502 q=547.76569688610527
p=0.002856120155439 q=547.76569688610539
p=0.0028561201554392498 q=547.76569688610562
p=0.0028561201554395 q=547.76569688610573
p=0.0028561201554397498 q=547.76569688610584
p=0.00285612015544 q=547.76569688610596
p=0.0028561201554402498 q=547.76569688610618
p=0.0028561201554405001 q=547.7656968861063
p=0.0028561201554407499 q=547.76569688610641
p=0.0028561201554410001 q=547.76569688610653
p=0.0028561201554412499 q=547.76569688610675
p=0.0028561201554415001 q=547.76569688610687
p=0.0028561201554417499 q=547.76569688610698
p=0.0028561201554420002 q=547.76569688610721
p=0.00285612015544225 q=547.76569688610732
p=0.0028561201554424998 q=547.76569688610743
p=0.00285612015544275 q=547.76569688610766
p=0.0028561201554429998 q=547.76569688610778
p=0.00285612015544325 q=547.76569688610789
p=0.0028561201554434998 q=547.765696886108
p=0.0028561201554437501 q=547.76569688610823
p=0.0028561201554439999 q=547.76569688610834
p=0.0028561201554442501 q=547.76569688610846
p=0.0028561201554444999 q=547.76569688610857
p=0.0028561201554447501 q=547.7656968861088
p=0.0028561201554449999 q=547.76569688610891
p=0.0028561201554452502 q=547.76569688610903
p=0.0028561201554455 q=547.76569688610925
p=0.0028561201554457498 q=547.76569688610937
