PROBE_V1
p=0.0028561201553580001 q=539.85836953149135
p=0.0028561201553582499 q=539.85836953149192
p=0.0028561201553585001 q=539.8583695314926
p=0.0028561201553587499 q=539.85836953149328
p=0.0028561201553590002 q=539.85836953149396
p=0.00285612015535925 q=539.85836953149453
p=0.0028561201553595002 q=539.85836953149521
p=0.00285612015535975 q=539.85836953149578
p=0.0028561201553600002 q=539.85836953149658
p=0.00285612015536025 q=539.85836953149715
p=0.0028561201553604998 q=539.85836953149771
p=0.0028561201553607501 q=539.8583695314984
p=0.0028561201553609999 q=539.85836953149908
p=0.0028561201553612501 q=539.85836953149965
p=0.0028561201553614999 q=539.85836953150044
p=0.0028561201553617501 q=539.85836953150101
p=0.0028561201553619999 q=539.85836953150181
p=0.0028561201553622502 q=539.85836953150238
p=0.0028561201553625 q=539.85836953150306
p=0.0028561201553627502 q=539.85836953150363
p=0.002856120155363 q=539.85836953150431
p=0.0028561201553632502 q=539.85836953150488
p=0.0028561201553635 q=539.85836953150567
p=0.0028561201553637498 q=539.85836953150624
p=0.0028561201553640001 q=539.85836953150692
p=0.0028561201553642499 q=539.85836953150761
p=0.0028561201553645001 q=539.85836953150817
p=0.0028561201553647499 q=539.85836953150886
p=0.0028561201553650001 q=539.85836953150954
p=0.0028561201553652499 q=539.85836953151022
p=0.0028561201553655002 q=539.85836953151079
p=0.00285612015536575 q=539.85836953151147
p=0.0028561201553660002 q=539.85836953151215
p=0.00285612015536625 q=539.85836953151284
p=0.0028561201553664998 q=539.85836953151352
p=0.00285612015536675 q=539.8583695315142
p=0.0028561201553669998 q=539.85836953151477
p=0.0028561201553672501 q=539.85836953151534
p=0.0028561201553674999 q=539.85836953151602
p=0.0028561201553677501 q=539.85836953151659
p=0.0028561201553679999 q=539.85836953151738
p=0.0028561201553682501 q=539.85836953151795
p=0.0028561201553684999 q=539.85836953151863
p=0.0028561201553687502 q=539.85836953151932
p=0.002856120155369 q=539.85836953152
p=0.0028561201553692502 q=539.85836953152068
p=0.0028561201553695 q=539.85836953152125
p=0.0028561201553697498 q=539.85836953152182
p=0.00285612015537 q=539.85836953152261
p=0.0028561201553702498 q=539.85836953152318
p=0.0028561201553705001 q=539.85836953152386
p=0.0028561201553707499 q=539.85836953152443
p=0.0028561201553710001 q=539.85836953152511
p=0.0028561201553712499 q=539.8583695315258
p=0.0028561201553715001 q=539.85836953152648
p=0.0028561201553717499 q=539.85836953152705
p=0.0028561201553720002 q=539.85836953152773
p=0.00285612015537225 q=539.85836953152841
p=0.0028561201553725002 q=539.85836953152909
p=0.00285612015537275 q=539.85836953152966
p=0.0028561201553729998 q=539.85836953153034
p=0.00285612015537325 q=539.85836953153103
p=0.0028561201553734998 q=539.85836953153171
p=0.0028561201553737501 q=539.85836953153228
p=0.0028561201553739999 q=539.85836953153296
p=0.0028561201553742501 q=539.85836953153364
p=0.0028561201553744999 q=539.85836953153432
p=0.0028561201553747501 q=539.85836953153489
p=0.0028561201553749999 q=539.85836953153557
p=0.0028561201553752502 q=539.85836953153625
p=0.0028561201553755 q=539.85836953153694
p=0.0028561201553757502 q=539.85836953153751
p=0.002856120155376 q=539.85836953153819
p=0.0028561201553762498 q=539.85836953153876
p=0.0028561201553765 q=539.85836953153955
p=0.0028561201553767498 q=539.85836953154023
p=0.0028561201553770001 q=539.8583695315408
p=0.0028561201553772499 q=539.85836953154137
p=0.0028561201553775001 q=539.85836953154217
p=0.0028561201553777499 q=539.85836953154262
p=0.0028561201553780001 q=539.85836953154342
p=0.0028561201553782499 q=539.8583695315441
p=0.0028561201553785002 q=539.85836953154467
p=0.00285612015537875 q=539.85836953154546
p=0.0028561201553790002 q=539.85836953154592
p=0.00285612015537925 q=539.8583695315466
p=0.0028561201553794998 q=539.85836953154728
p=0.0028561201553797501 q=539.85836953154785
p=0.0028561201553799999 q=539.85836953154865
p=0.0028561201553802501 q=539.8583695315491
p=0.0028561201553804999 q=539.8583695315499
p=0.0028561201553807501 q=539.85836953155058
p=0.0028561201553809999 q=539.85836953155126
p=0.0028561201553812502 q=539.85836953155194
p=0.0028561201553815 q=539.85836953155251
p=0.0028561201553817502 q=539.85836953155308
p=0.002856120155382 q=539.85836953155376
p=0.0028561201553822502 q=539.85836953155444
p=0.0028561201553825 q=539.85836953155513
p=0.0028561201553827498 q=539.8583695315557
p=0.0028561201553830001 q=539.85836953155638
p=0.0028561201553832499 q=539.85836953155706
p=0.0028561201553835001 q=539.85836953155774
p=0.0028561201553837499 q=539.85836953155831
p=0.0028561201553840001 q=539.85836953155899
p=0.0028561201553842499 q=539.85836953155979
p=0.0028561201553845002 q=539.85836953156024
p=0.00285612015538475 q=539.85836953156104
p=0.0028561201553850002 q=539.85836953156161
p=0.00285612015538525 q=539.85836953156218
p=0.0028561201553854998 q=539.85836953156297
p=0.00285612015538575 q=539.85836953156365
p=0.0028561201553859998 q=539.85836953156422
p=0.0028561201553862501 q=539.85836953156479
p=0.0028561201553864999 q=539.85836953156547
p=0.0028561201553867501 q=539.85836953156627
p=0.0028561201553869999 q=539.85836953156684
p=0.0028561201553872501 q=539.8583695315674
p=0.0028561201553874999 q=539.8583695315682
p=0.0028561201553877502 q=539.85836953156888
p=0.002856120155388 q=539.85836953156945
p=0.0028561201553882502 q=539.85836953157013
p=0.0028561201553885 q=539.8583695315707
p=0.0028561201553887498 q=539.8583695315715
p=0.002856120155389 q=539.85836953157207
p=0.0028561201553892498 q=539.85836953157263
p=0.0028561201553895001 q=539.85836953157332
p=0.0028561201553897499 q=539.858369531574
p=0.0028561201553900001 q=539.85836953157468
p=0.0028561201553902499 q=539.85836953157536
p=0.0028561201553905001 q=539.85836953157593
p=0.0028561201553907499 q=539.85836953157661
p=0.0028561201553910002 q=539.85836953157718
p=0.00285612015539125 q=539.85836953157798
p=0.0028561201553915002 q=539.85836953157855
p=0.00285612015539175 q=539.85836953157911
p=0.0028561201553919998 q=539.8583695315798
p=0.00285612015539225 q=539.85836953158048
p=0.0028561201553924998 q=539.85836953158116
p=0.0028561201553927501 q=539.85836953158184
p=0.0028561201553929999 q=539.85836953158241
p=0.0028561201553932501 q=539.85836953158309
p=0.0028561201553934999 q=539.85836953158366
p=0.0028561201553937501 q=539.85836953158446
p=0.0028561201553939999 q=539.85836953158503
p=0.0028561201553942502 q=539.85836953158571
p=0.0028561201553945 q=539.85836953158639
p=0.0028561201553947502 q=539.85836953158707
p=0.002856120155395 q=539.85836953158764
p=0.0028561201553952498 q=539.85836953158832
p=0.0028561201553955 q=539.85836953158901
p=0.0028561201553957498 q=539.8583695315898
p=0.0028561201553960001 q=539.85836953159026
p=0.0028561201553962499 q=539.85836953159094
p=0.0028561201553965001 q=539.85836953159151
p=0.0028561201553967499 q=539.8583695315923
p=0.0028561201553970001 q=539.85836953159287
p=0.0028561201553972499 q=539.85836953159355
p=0.0028561201553975002 q=539.85836953159412
p=0.00285612015539775 q=539.85836953159492
p=0.0028561201553980002 q=539.8583695315956
p=0.00285612015539825 q=539.85836953159617
p=0.0028561201553984998 q=539.85836953159674
p=0.00285612015539875 q=539.85836953159753
p=0.0028561201553989998 q=539.85836953159821
p=0.0028561201553992501 q=539.85836953159878
p=0.0028561201553994999 q=539.85836953159935
p=0.0028561201553997501 q=539.85836953160003
p=0.0028561201553999999 q=539.85836953160072
p=0.0028561201554002501 q=539.8583695316014
p=0.0028561201554004999 q=539.85836953160197
p=0.0028561201554007502 q=539.85836953160253
p=0.002856120155401 q=539.85836953160322
p=0.0028561201554012502 q=539.85836953160401
p=0.0028561201554015 q=539.85836953160458
p=0.0028561201554017498 q=539.85836953160526
p=0.002856120155402 q=539.85836953160583
p=0.0028561201554022498 q=539.85836953160663
p=0.0028561201554025001 q=539.8583695316072
p=0.0028561201554027499 q=539.85836953160788
p=0.0028561201554030001 q=539.85836953160845
p=0.0028561201554032499 q=539.85836953160913
p=0.0028561201554035002 q=539.85836953160981
p=0.00285612015540375 q=539.85836953161049
p=0.0028561201554040002 q=539.85836953161106
p=0.00285612015540425 q=539.85836953161174
p=0.0028561201554044998 q=539.85836953161242
p=0.00285612015540475 q=539.85836953161311
p=0.0028561201554049998 q=539.85836953161368
p=0.0028561201554052501 q=539.85836953161436
p=0.0028561201554054999 q=539.85836953161493
p=0.0028561201554057501 q=539.85836953161572
p=0.0028561201554059999 q=539.85836953161629
p=0.0028561201554062501 q=539.85836953161697
p=0.0028561201554064999 q=539.85836953161754
p=0.0028561201554067502 q=539.85836953161822
p=0.002856120155407 q=539.85836953161891
p=0.0028561201554072502 q=539.85836953161959
p=0.0028561201554075 q=539.85836953162016
p=0.0028561201554077498 q=539.85836953162095
p=0.002856120155408 q=539.85836953162163
p=0.0028561201554082498 q=539.85836953162232
p=0.0028561201554085001 q=539.85836953162277
p=0.0028561201554087499 q=539.85836953162357
p=0.0028561201554090001 q=539.85836953162413
p=0.0028561201554092499 q=539.85836953162493
p=0.0028561201554095001 q=539.85836953162539
p=0.0028561201554097499 q=539.85836953162607
p=0.0028561201554100002 q=539.85836953162675
p=0.00285612015541025 q=539.85836953162755
p=0.0028561201554105002 q=539.858369531628
p=0.00285612015541075 q=539.85836953162868
p=0.0028561201554109998 q=539.85836953162925
p=0.00285612015541125 q=539.85836953162993
p=0.0028561201554114998 q=539.85836953163061
p=0.0028561201554117501 q=539.8583695316313
p=0.0028561201554119999 q=539.85836953163187
p=0.0028561201554122501 q=539.85836953163255
p=0.0028561201554124999 q=539.85836953163323
p=0.0028561201554127501 q=539.85836953163403
p=0.0028561201554129999 q=539.85836953163448
p=0.0028561201554132502 q=539.85836953163516
p=0.0028561201554135 q=539.85836953163596
p=0.0028561201554137502 q=539.85836953163653
p=0.002856120155414 q=539.85836953163709
p=0.0028561201554142498 q=539.85836953163778
p=0.0028561201554145 q=539.85836953163846
p=0.0028561201554147498 q=539.85836953163914
p=0.0028561201554150001 q=539.85836953163971
p=0.0028561201554152499 q=539.85836953164039
p=0.0028561201554155001 q=539.85836953164096
p=0.0028561201554157499 q=539.85836953164176
p=0.0028561201554160001 q=539.85836953164232
p=0.0028561201554162499 q=539.85836953164301
p=0.0028561201554165002 q=539.85836953164358
p=0.00285612015541675 q=539.85836953164437
p=0.0028561201554170002 q=539.85836953164505
p=0.00285612015541725 q=539.85836953164562
p=0.0028561201554174998 q=539.85836953164619
p=0.00285612015541775 q=539.85836953164699
p=0.0028561201554179998 q=539.85836953164767
p=0.0028561201554182501 q=539.85836953164824
p=0.0028561201554184999 q=539.8583695316488
p=0.0028561201554187501 q=539.85836953164949
p=0.0028561201554189999 q=539.85836953165028
p=0.0028561201554192501 q=539.85836953165096
p=0.0028561201554194999 q=539.85836953165142
p=0.0028561201554197502 q=539.8583695316521
p=0.00285612015542 q=539.8583695316529
p=0.0028561201554202502 q=539.85836953165358
p=0.0028561201554205 q=539.85836953165403
p=0.0028561201554207498 q=539.85836953165472
p=0.002856120155421 q=539.85836953165528
p=0.0028561201554212498 q=539.85836953165608
p=0.0028561201554215001 q=539.85836953165676
p=0.0028561201554217499 q=539.85836953165733
p=0.0028561201554220001 q=539.8583695316579
p=0.0028561201554222499 q=539.85836953165858
p=0.0028561201554225001 q=539.85836953165938
p=0.0028561201554227499 q=539.85836953165995
p=0.0028561201554230002 q=539.85836953166051
p=0.00285612015542325 q=539.8583695316612
p=0.0028561201554234998 q=539.85836953166199
p=0.00285612015542375 q=539.85836953166256
p=0.0028561201554239998 q=539.85836953166313
p=0.00285612015542425 q=539.85836953166393
p=0.0028561201554244998 q=539.85836953166438
p=0.0028561201554247501 q=539.85836953166518
p=0.0028561201554249999 q=539.85836953166574
p=0.0028561201554252501 q=539.85836953166643
p=0.0028561201554254999 q=539.85836953166699
p=0.0028561201554257501 q=539.85836953166779
p=0.0028561201554259999 q=539.85836953166847
p=0.0028561201554262502 q=539.85836953166904
p=0.0028561201554265 q=539.85836953166961
p=0.0028561201554267498 q=539.85836953167041
p=0.002856120155427 q=539.85836953167109
p=0.0028561201554272498 q=539.85836953167166
p=0.0028561201554275 q=539.85836953167234
p=0.0028561201554277499 q=539.85836953167291
p=0.0028561201554280001 q=539.8583695316737
p=0.0028561201554282499 q=539.85836953167427
p=0.0028561201554285001 q=539.85836953167495
p=0.0028561201554287499 q=539.85836953167552
p=0.0028561201554290002 q=539.85836953167632
p=0.00285612015542925 q=539.858369531677
p=0.0028561201554295002 q=539.85836953167757
p=0.00285612015542975 q=539.85836953167814
p=0.0028561201554299998 q=539.85836953167893
p=0.00285612015543025 q=539.8583695316795
p=0.0028561201554304998 q=539.8583695316803
p=0.0028561201554307501 q=539.85836953168075
p=0.0028561201554309999 q=539.85836953168143
p=0.0028561201554312501 q=539.85836953168211
p=0.0028561201554314999 q=539.8583695316828
p=0.0028561201554317501 q=539.85836953168337
p=0.0028561201554319999 q=539.85836953168405
p=0.0028561201554322502 q=539.85836953168462
p=0.0028561201554325 q=539.85836953168541
p=0.0028561201554327502 q=539.85836953168598
p=0.002856120155433 q=539.85836953168666
p=0.0028561201554332498 q=539.85836953168734
p=0.0028561201554335 q=539.85836953168791
p=0.0028561201554337498 q=539.8583695316886
p=0.0028561201554340001 q=539.85836953168928
p=0.0028561201554342499 q=539.85836953168985
p=0.0028561201554345001 q=539.85836953169053
p=0.0028561201554347499 q=539.85836953169121
p=0.0028561201554350001 q=539.85836953169189
p=0.0028561201554352499 q=539.85836953169246
p=0.0028561201554355002 q=539.85836953169314
p=0.00285612015543575 q=539.85836953169371
p=0.0028561201554360002 q=539.85836953169451
p=0.00285612015543625 q=539.85836953169508
p=0.0028561201554364998 q=539.85836953169576
p=0.00285612015543675 q=539.85836953169644
p=0.0028561201554369998 q=539.85836953169712
p=0.0028561201554372501 q=539.8583695316978
p=0.0028561201554374999 q=539.85836953169837
p=0.0028561201554377501 q=539.85836953169894
p=0.0028561201554379999 q=539.85836953169974
p=0.0028561201554382501 q=539.85836953170042
p=0.0028561201554384999 q=539.85836953170099
p=0.0028561201554387502 q=539.85836953170156
p=0.002856120155439 q=539.85836953170235
p=0.0028561201554392498 q=539.85836953170292
p=0.0028561201554395 q=539.8583695317036
p=0.0028561201554397498 q=539.85836953170417
p=0.00285612015544 q=539.85836953170485
p=0.0028561201554402498 q=539.85836953170553
p=0.0028561201554405001 q=539.85836953170633
p=0.0028561201554407499 q=539.85836953170678
p=0.0028561201554410001 q=539.85836953170747
p=0.0028561201554412499 q=539.85836953170815
p=0.0028561201554415001 q=539.85836953170895
p=0.0028561201554417499 q=539.85836953170951
p=0.0028561201554420002 q=539.85836953171008
p=0.00285612015544225 q=539.85836953171065
p=0.0028561201554424998 q=539.85836953171133
p=0.00285612015544275 q=539.85836953171201
p=0.0028561201554429998 q=539.8583695317127
p=0.00285612015544325 q=539.85836953171327
p=0.0028561201554434998 q=539.85836953171395
p=0.0028561201554437501 q=539.85836953171463
p=0.0028561201554439999 q=539.85836953171543
p=0.0028561201554442501 q=539.85836953171599
p=0.0028561201554444999 q=539.85836953171656
p=0.0028561201554447501 q=539.85836953171724
p=0.0028561201554449999 q=539.85836953171793
p=0.0028561201554452502 q=539.85836953171849
